zip_code,population,median_hh_income,poverty_count,%_poverty
01532,12100.0,183098.0,196,1.62
01534,5433.0,145377.0,154,2.83
01535,4512.0,82222.0,481,10.66
01536,5393.0,102100.0,288,5.34
01537,1689.0,93466.0,178,10.54
01540,10389.0,123162.0,264,2.54
01541,3296.0,151250.0,63,1.91
01542,2228.0,109913.0,40,1.8
01543,8539.0,155131.0,195,2.28
01545,24642.0,134197.0,838,3.4
01550,11705.0,60385.0,1770,15.12
01560,3237.0,89115.0,169,5.22
01561,,,0,
01562,11016.0,78632.0,843,7.65
01564,7308.0,135357.0,306,4.19
01566,6312.0,140598.0,80,1.27
01568,7134.0,163068.0,128,1.79
01569,12690.0,122140.0,533,4.2
01570,13146.0,73125.0,1500,11.41
01571,10342.0,82500.0,681,6.58
01581,13319.0,132866.0,582,4.37
01583,6627.0,98967.0,480,7.24
01585,4609.0,70980.0,437,9.48
01588,9117.0,93065.0,844,9.26
01590,8352.0,155670.0,340,4.07
01602,17639.0,98965.0,2273,12.89
01603,11345.0,63087.0,1812,15.97
01604,23476.0,77614.0,3016,12.85
01605,16671.0,56077.0,4078,24.46
01606,15126.0,99375.0,1135,7.5
01607,4533.0,71268.0,823,18.16
01608,2163.0,53750.0,570,26.35
01609,15290.0,83500.0,2251,14.72
01610,13221.0,39750.0,3646,27.58
01611,1991.0,127542.0,18,0.9
01612,4561.0,132052.0,68,1.49
01701,22275.0,129139.0,1005,4.51
01702,17427.0,89451.0,2005,11.51
01718,332.0,109539.0,0,0.0
01719,3718.0,150125.0,90,2.42
01720,14775.0,135735.0,556,3.76
01721,13016.0,119982.0,643,4.94
01730,10809.0,142960.0,434,4.02
01731,766.0,112981.0,0,0.0
01740,4817.0,212159.0,136,2.82
01741,4371.0,250001.0,100,2.29
01742,15030.0,210556.0,273,1.82
01745,456.0,180030.0,0,0.0
01746,12637.0,158371.0,386,3.05
01747,5529.0,115601.0,210,3.8
01748,13897.0,203944.0,389,2.8
01749,15988.0,108113.0,681,4.26
01752,25198.0,96392.0,2144,8.51
01754,9015.0,118750.0,594,6.59
01756,5874.0,126106.0,332,5.65
01757,21002.0,100657.0,1802,8.58
01760,28256.0,134452.0,1423,5.04
01770,3567.0,245958.0,71,1.99
01772,7360.0,182228.0,219,2.98
01773,4659.0,195903.0,218,4.68
01775,5933.0,180323.0,76,1.28
01776,15301.0,233621.0,366,2.39
01778,10609.0,202734.0,384,3.62
01801,31088.0,109905.0,1924,6.19
01803,19951.0,138108.0,1079,5.41
01810,25981.0,157527.0,984,3.79
01821,24476.0,139118.0,1031,4.21
01824,21393.0,139138.0,973,4.55
01826,26445.0,112469.0,1621,6.13
01827,3071.0,189167.0,29,0.94
01830,18354.0,87141.0,2144,11.68
01832,17373.0,78912.0,1441,8.29
01833,7659.0,150347.0,260,3.39
01834,6545.0,135521.0,283,4.32
01835,11354.0,108853.0,499,4.39
01840,1209.0,46710.0,235,19.44
01841,10200.0,56698.0,1324,12.98
01843,8494.0,79024.0,1162,13.68
01844,31480.0,106997.0,1759,5.59
01845,26040.0,134298.0,1705,6.55
01850,9010.0,59663.0,2342,25.99
01851,11042.0,79294.0,1684,15.25
01852,21408.0,75347.0,2685,12.54
01854,16939.0,71838.0,2805,16.56
01860,6368.0,115814.0,542,8.51
01862,8298.0,134057.0,411,4.95
01863,8002.0,134150.0,276,3.45
01864,13774.0,154375.0,423,3.07
01867,22187.0,160298.0,626,2.82
01876,27426.0,123792.0,800,2.92
01879,10347.0,144697.0,460,4.45
01880,23979.0,131879.0,786,3.28
01886,17406.0,165186.0,464,2.67
01887,20127.0,155755.0,605,3.01
01890,16546.0,220114.0,596,3.6
01901,890.0,22536.0,425,47.75
01902,18887.0,61909.0,2840,15.04
01904,13181.0,111622.0,978,7.42
01905,12018.0,97348.0,1395,11.61
01906,22187.0,99192.0,1294,5.83
01907,13337.0,131127.0,772,5.79
01908,3063.0,110791.0,212,6.92
01913,15148.0,105950.0,833,5.5
01915,36355.0,105905.0,2774,7.63
01921,7526.0,184679.0,121,1.61
01922,3602.0,207875.0,162,4.5
01923,25075.0,118530.0,902,3.6
01929,3542.0,152328.0,217,6.13
01930,27036.0,88182.0,2764,10.22
01937,125.0,,102,81.6
01938,12770.0,124725.0,865,6.77
01940,10752.0,164506.0,483,4.49
01944,4687.0,188277.0,149,3.18
01945,19366.0,166328.0,737,3.81
01949,8227.0,161048.0,281,3.42
01950,17097.0,138359.0,792,4.63
01951,2653.0,175543.0,131,4.94
01952,8086.0,110109.0,454,5.61
01960,43102.0,97163.0,2565,5.95
01965,719.0,250001.0,0,0.0
01966,6587.0,96488.0,230,3.49
01969,5892.0,127344.0,71,1.21
01970,33206.0,93691.0,3931,11.84
01982,6971.0,128796.0,266,3.82
01983,5712.0,176772.0,444,7.77
01984,4509.0,188750.0,144,3.19
01985,3917.0,183816.0,59,1.51
02019,14527.0,120852.0,576,3.97
02021,17685.0,134850.0,461,2.61
02025,7697.0,186151.0,244,3.17
02026,20698.0,128945.0,875,4.23
02030,4706.0,250001.0,89,1.89
02032,3542.0,182350.0,101,2.85
02035,14425.0,111378.0,763,5.29
02038,28185.0,142702.0,1262,4.48
02043,22674.0,178077.0,757,3.34
02045,9539.0,118750.0,524,5.49
02047,142.0,151000.0,0,0.0
02048,20459.0,123926.0,1027,5.02
02050,24810.0,126350.0,1842,7.42
02052,11312.0,212899.0,233,2.06
02053,11137.0,177882.0,378,3.39
02054,7564.0,147380.0,404,5.34
02056,9601.0,195707.0,188,1.96
02061,10267.0,180000.0,315,3.07
02062,22917.0,102372.0,1298,5.66
02066,17542.0,132471.0,424,2.42
02067,13151.0,175230.0,524,3.98
02071,1314.0,208178.0,0,0.0
02072,17546.0,105283.0,1459,8.32
02081,17667.0,152267.0,653,3.7
02090,12782.0,187706.0,698,5.46
02093,10991.0,149297.0,468,4.26
02108,3637.0,213618.0,414,11.38
02109,2942.0,166957.0,108,3.67
02110,1899.0,131955.0,281,14.8
02111,3307.0,121676.0,595,17.99
02113,5888.0,111544.0,593,10.07
02114,10257.0,154051.0,888,8.66
02115,16443.0,67092.0,2645,16.09
02116,14648.0,180911.0,1029,7.02
02118,14520.0,180958.0,1815,12.5
02119,4804.0,90938.0,1761,36.66
02120,5903.0,73382.0,1606,27.21
02121,3039.0,,1160,38.17
02122,8579.0,134901.0,532,6.2
02124,10837.0,128733.0,1471,13.57
02125,11232.0,105324.0,1968,17.52
02126,1584.0,73088.0,202,12.75
02127,28883.0,174742.0,2263,7.84
02128,19943.0,104269.0,2444,12.25
02129,14849.0,178186.0,395,2.66
02130,26305.0,151773.0,1874,7.12
02131,16898.0,127266.0,887,5.25
02132,20152.0,136962.0,753,3.74
02133,13.0,,0,0.0
02134,9905.0,86250.0,1536,15.51
02135,26934.0,98634.0,4036,14.98
02136,9135.0,109474.0,440,4.82
02138,23483.0,144359.0,1885,8.03
02139,21585.0,148785.0,1601,7.42
02140,12041.0,160152.0,913,7.58
02141,8744.0,137222.0,894,10.22
02142,2037.0,249375.0,21,1.03
02143,17971.0,128900.0,1267,7.05
02144,18802.0,140096.0,1951,10.38
02145,17791.0,130000.0,1602,9.0
02148,29104.0,103236.0,2750,9.45
02149,20971.0,74428.0,2863,13.65
02150,10624.0,85756.0,1488,14.01
02151,33794.0,78717.0,4284,12.68
02152,15053.0,103429.0,950,6.31
02155,42333.0,120393.0,2582,6.1
02163,1028.0,88021.0,144,14.01
02169,34189.0,98651.0,2913,8.52
02170,10754.0,110332.0,958,8.91
02171,11152.0,113750.0,956,8.57
02176,23181.0,135833.0,759,3.27
02180,19086.0,111343.0,801,4.2
02184,27209.0,116178.0,1274,4.68
02186,20653.0,182813.0,715,3.46
02188,12571.0,105981.0,867,6.9
02189,11856.0,95942.0,1190,10.04
02190,15530.0,98944.0,930,5.99
02191,6726.0,120637.0,272,4.04
02199,858.0,130568.0,67,7.81
02203,,,0,
02205,,,0,
02210,5463.0,169280.0,180,3.29
02215,14111.0,80294.0,2021,14.32
02301,18305.0,70736.0,2256,12.32
