zip_code,population,median_hh_income,poverty_count,%_poverty
06108,10688.0,53313.0,1608,15.04
06109,3413.0,91715.0,332,9.73
06110,3159.0,60243.0,790,25.01
06111,3557.0,87847.0,340,9.56
06112,4177.0,30347.0,2060,49.32
06114,15137.0,45081.0,4812,31.79
06117,1006.0,,36,3.58
06118,8819.0,75233.0,1480,16.78
06119,1606.0,74183.0,153,9.53
06120,6356.0,27326.0,2709,42.62
06226,8588.0,34348.0,2527,29.42
06231,245.0,,52,21.22
06232,20.0,,0,0.0
06234,417.0,155063.0,60,14.39
06235,95.0,,34,35.79
06237,290.0,128958.0,0,0.0
06238,574.0,112566.0,42,7.32
06239,538.0,71890.0,98,18.22
06241,373.0,66333.0,42,11.26
06242,36.0,,3,8.33
06243,,,0,
06247,86.0,119500.0,2,2.33
06248,169.0,,19,11.24
06249,333.0,,20,6.01
06250,362.0,117279.0,0,0.0
06254,89.0,,11,12.36
06255,77.0,,29,37.66
06256,265.0,82974.0,0,0.0
06258,13.0,,0,0.0
06259,164.0,,18,10.98
06260,640.0,,85,13.28
06262,,,0,
06263,40.0,,0,0.0
06264,46.0,,0,0.0
06266,4.0,,1,25.0
06268,647.0,,222,34.31
06269,456.0,,9,1.97
06277,421.0,109375.0,0,0.0
06278,190.0,64896.0,1,0.53
06279,267.0,,0,0.0
06280,795.0,55126.0,34,4.28
06281,357.0,,0,0.0
06282,,,0,
06320,9372.0,49390.0,2655,28.33
06330,333.0,90455.0,85,25.53
06331,192.0,100323.0,1,0.52
06332,19.0,,0,0.0
06333,674.0,167750.0,0,0.0
06334,99.0,,30,30.3
06335,494.0,,188,38.06
06336,,,0,
06338,,,0,
06339,875.0,84440.0,0,0.0
06340,4369.0,44235.0,1008,23.07
06350,,,0,
06351,662.0,,123,18.58
06353,118.0,,59,50.0
06354,287.0,,17,5.92
06355,299.0,122875.0,37,12.37
06357,426.0,98750.0,5,1.17
06359,504.0,131840.0,175,34.72
06360,7852.0,61121.0,2017,25.69
06365,155.0,113636.0,9,5.81
06370,220.0,85516.0,10,4.55
06371,367.0,205577.0,0,0.0
06373,,,0,
06374,475.0,67097.0,64,13.47
06375,229.0,144423.0,8,3.49
06376,,,0,
06377,209.0,,62,29.67
06378,230.0,,0,0.0
06379,306.0,,69,22.55
06380,721.0,40263.0,272,37.73
06382,1172.0,72135.0,90,7.68
06384,58.0,,0,0.0
06385,902.0,,70,7.76
06387,9.0,,0,0.0
06389,,,0,
06390,6.0,,0,0.0
06401,4755.0,99330.0,518,10.89
06403,510.0,80475.0,0,0.0
06405,1506.0,68047.0,352,23.37
06409,21.0,,0,0.0
06410,1965.0,,170,8.65
06412,263.0,,0,0.0
06413,807.0,82875.0,52,6.44
06414,216.0,,42,19.44
06415,801.0,136123.0,5,0.62
06416,1263.0,70182.0,42,3.33
06417,199.0,72188.0,0,0.0
06418,2583.0,48750.0,449,17.38
06419,157.0,,0,0.0
06420,173.0,111250.0,72,41.62
06422,228.0,,0,0.0
06423,285.0,,0,0.0
06424,723.0,80221.0,0,0.0
06426,78.0,,0,0.0
