zip_code,population,median_hh_income,poverty_count,%_poverty
00751,42.0,,1,2.38
00754,6.0,,6,100.0
00757,56.0,,16,28.57
00765,199.0,,0,0.0
00766,63.0,,0,0.0
00767,119.0,56058.0,24,20.17
00769,66.0,,54,81.82
00771,11.0,,11,100.0
00772,17.0,,17,100.0
00773,142.0,,34,23.94
00775,70.0,,19,27.14
00777,24.0,,0,0.0
00778,641.0,24750.0,122,19.03
00780,,,0,
00782,,,0,
00783,55.0,,3,5.45
00784,20.0,,3,15.0
00786,,,0,
00791,182.0,,54,29.67
00794,25.0,,0,0.0
00795,85.0,,6,7.06
00901,395.0,,74,18.73
00906,23.0,,0,0.0
00907,648.0,58667.0,167,25.77
00909,187.0,152500.0,25,13.37
00911,872.0,63807.0,137,15.71
00912,44.0,,7,15.91
00913,487.0,162639.0,239,49.08
00915,43.0,40139.0,19,44.19
00917,22.0,,14,63.64
00918,137.0,,7,5.11
00920,48.0,,0,0.0
00921,147.0,36964.0,0,0.0
00923,170.0,,96,56.47
00924,166.0,,28,16.87
00925,52.0,,44,84.62
00926,924.0,70288.0,83,8.98
00927,342.0,,1,0.29
00934,48.0,,0,0.0
00949,361.0,62292.0,165,45.71
00950,,,0,
00951,,,0,
00952,,,0,
00953,429.0,35119.0,213,49.65
00956,212.0,,134,63.21
00957,150.0,,74,49.33
00959,713.0,60662.0,76,10.66
00960,,,0,
00961,96.0,37083.0,0,0.0
00962,187.0,,117,62.57
00965,45.0,,0,0.0
00966,334.0,115900.0,11,3.29
00968,57.0,,0,0.0
00969,657.0,106352.0,64,9.74
00971,20.0,,0,0.0
00976,345.0,27402.0,125,36.23
00979,457.0,65625.0,121,26.48
00982,26.0,,10,38.46
00983,144.0,,61,42.36
00985,105.0,,52,49.52
00987,504.0,93977.0,0,0.0
01001,13399.0,72824.0,718,5.36
01002,17468.0,82348.0,3666,20.99
01003,7316.0,,5,0.07
01005,4371.0,100040.0,462,10.57
01007,13044.0,99790.0,746,5.72
01008,1249.0,94375.0,63,5.04
01009,790.0,70763.0,118,14.94
01010,3213.0,88816.0,216,6.72
01011,1174.0,87195.0,30,2.56
01012,377.0,76184.0,40,10.61
01013,13347.0,68957.0,1410,10.56
01020,21408.0,77451.0,2206,10.3
01022,1572.0,54669.0,183,11.64
01026,911.0,87417.0,36,3.95
01027,15254.0,73489.0,1039,6.81
01028,13906.0,100781.0,444,3.19
01029,628.0,99375.0,13,2.07
01030,11226.0,95526.0,667,5.94
01031,1503.0,55365.0,192,12.77
01032,493.0,84167.0,54,10.95
01033,5622.0,114000.0,281,5.0
01034,1929.0,108571.0,143,7.41
01035,4676.0,118285.0,111,2.37
01036,4584.0,104286.0,96,2.09
01037,460.0,83967.0,21,4.57
01038,2234.0,123125.0,97,4.34
01039,1563.0,117045.0,66,4.22
01040,16500.0,71605.0,1800,10.91
01050,2422.0,98958.0,253,10.45
01053,1731.0,88125.0,104,6.01
01054,1522.0,108125.0,118,7.75
01056,17821.0,80754.0,1495,8.39
01057,7508.0,83705.0,818,10.9
01060,11952.0,76973.0,1479,12.37
01062,7951.0,92068.0,707,8.89
01063,1206.0,,0,0.0
